id,code,name,state_id/id
res_country_municipality_55,318,GUARNE,con_profile.account_base_co_state_05
res_country_municipality_56,321,GUATAPE,con_profile.account_base_co_state_05
res_country_municipality_57,347,HELICONIA,con_profile.account_base_co_state_05
res_country_municipality_58,353,HISPANIA,con_profile.account_base_co_state_05
res_country_municipality_59,360,ITAGUI,con_profile.account_base_co_state_05
res_country_municipality_60,361,ITUANGO,con_profile.account_base_co_state_05
res_country_municipality_61,364,JARDIN,con_profile.account_base_co_state_05
res_country_municipality_62,368,JERICO,con_profile.account_base_co_state_05
res_country_municipality_63,376,LA CEJA,con_profile.account_base_co_state_05
res_country_municipality_64,380,LA ESTRELLA,con_profile.account_base_co_state_05
res_country_municipality_65,390,LA PINTADA,con_profile.account_base_co_state_05
res_country_municipality_66,400,LA UNION,con_profile.account_base_co_state_05
res_country_municipality_67,411,LIBORINA,con_profile.account_base_co_state_05
res_country_municipality_68,425,MACEO,con_profile.account_base_co_state_05
res_country_municipality_69,440,MARINILLA,con_profile.account_base_co_state_05
res_country_municipality_70,467,MONTEBELLO,con_profile.account_base_co_state_05
res_country_municipality_71,475,MURINDO,con_profile.account_base_co_state_05
res_country_municipality_72,480,MUTATA,con_profile.account_base_co_state_05
res_country_municipality_73,483,NARIÑO,con_profile.account_base_co_state_05
res_country_municipality_74,490,NECOCLI,con_profile.account_base_co_state_05
res_country_municipality_75,495,NECHI,con_profile.account_base_co_state_05
res_country_municipality_76,501,OLAYA,con_profile.account_base_co_state_05
res_country_municipality_77,541,PEÐOL,con_profile.account_base_co_state_05
res_country_municipality_78,543,PEQUE,con_profile.account_base_co_state_05
res_country_municipality_79,576,PUEBLORRICO,con_profile.account_base_co_state_05
res_country_municipality_80,579,PUERTO BERRIO,con_profile.account_base_co_state_05
res_country_municipality_81,585,PUERTO NARE,con_profile.account_base_co_state_05
res_country_municipality_82,591,PUERTO TRIUNFO,con_profile.account_base_co_state_05
res_country_municipality_83,604,REMEDIOS,con_profile.account_base_co_state_05
res_country_municipality_84,607,RETIRO,con_profile.account_base_co_state_05
res_country_municipality_85,615,RIONEGRO,con_profile.account_base_co_state_05
res_country_municipality_86,628,SABANALARGA,con_profile.account_base_co_state_05
res_country_municipality_87,631,SABANETA,con_profile.account_base_co_state_05
res_country_municipality_88,642,SALGAR,con_profile.account_base_co_state_05
res_country_municipality_89,647,SAN ANDRES DE CUERQUIA,con_profile.account_base_co_state_05
res_country_municipality_90,649,SAN CARLOS,con_profile.account_base_co_state_05
res_country_municipality_91,652,SAN FRANCISCO,con_profile.account_base_co_state_05
res_country_municipality_92,656,SAN JERONIMO,con_profile.account_base_co_state_05
res_country_municipality_93,658,SAN JOSE DE LA MONTAÑA,con_profile.account_base_co_state_05
res_country_municipality_94,659,SAN JUAN DE URABA,con_profile.account_base_co_state_05
res_country_municipality_95,660,SAN LUIS,con_profile.account_base_co_state_05
res_country_municipality_96,664,SAN PEDRO,con_profile.account_base_co_state_05
res_country_municipality_97,665,SAN PEDRO DE URABA,con_profile.account_base_co_state_05
res_country_municipality_98,667,SAN RAFAEL,con_profile.account_base_co_state_05
res_country_municipality_99,670,SAN ROQUE,con_profile.account_base_co_state_05
res_country_municipality_100,674,SAN VICENTE,con_profile.account_base_co_state_05
res_country_municipality_101,679,SANTA BARBARA,con_profile.account_base_co_state_05
res_country_municipality_102,686,SANTA ROSA DE OSOS,con_profile.account_base_co_state_05
res_country_municipality_103,690,SANTO DOMINGO,con_profile.account_base_co_state_05
res_country_municipality_104,697,EL SANTUARIO,con_profile.account_base_co_state_05
res_country_municipality_105,736,SEGOVIA,con_profile.account_base_co_state_05
res_country_municipality_106,756,SONSON,con_profile.account_base_co_state_05
res_country_municipality_107,761,SOPETRAN,con_profile.account_base_co_state_05
res_country_municipality_108,789,TAMESIS,con_profile.account_base_co_state_05
res_country_municipality_109,790,TARAZA,con_profile.account_base_co_state_05
res_country_municipality_110,792,TARSO,con_profile.account_base_co_state_05
res_country_municipality_111,809,TITIRIBI,con_profile.account_base_co_state_05
res_country_municipality_112,819,TOLEDO,con_profile.account_base_co_state_05
res_country_municipality_113,837,TURBO,con_profile.account_base_co_state_05
res_country_municipality_114,842,URAMITA,con_profile.account_base_co_state_05
res_country_municipality_115,847,URRAO,con_profile.account_base_co_state_05
res_country_municipality_116,854,VALDIVIA,con_profile.account_base_co_state_05
res_country_municipality_117,856,VALPARAISO,con_profile.account_base_co_state_05
res_country_municipality_118,858,VEGACHI,con_profile.account_base_co_state_05
res_country_municipality_119,861,VENECIA,con_profile.account_base_co_state_05
res_country_municipality_120,873,VIGIA DEL FUERTE,con_profile.account_base_co_state_05
res_country_municipality_121,885,YALI,con_profile.account_base_co_state_05
res_country_municipality_122,887,YARUMAL,con_profile.account_base_co_state_05
res_country_municipality_123,890,YOLOMBO,con_profile.account_base_co_state_05
res_country_municipality_124,893,YONDO,con_profile.account_base_co_state_05
res_country_municipality_125,895,ZARAGOZA,con_profile.account_base_co_state_05
res_country_municipality_126,001,BARRANQUILLA,con_profile.account_base_co_state_08
res_country_municipality_127,078,BARANOA,con_profile.account_base_co_state_08
res_country_municipality_128,137,CAMPO DE LA CRUZ,con_profile.account_base_co_state_08
res_country_municipality_129,141,CANDELARIA,con_profile.account_base_co_state_08
res_country_municipality_130,296,GALAPA,con_profile.account_base_co_state_08
res_country_municipality_131,372,JUAN DE ACOSTA,con_profile.account_base_co_state_08
res_country_municipality_132,421,LURUACO,con_profile.account_base_co_state_08
res_country_municipality_133,433,MALAMBO,con_profile.account_base_co_state_08
res_country_municipality_134,436,MANATI,con_profile.account_base_co_state_08
res_country_municipality_135,520,PALMAR DE VARELA,con_profile.account_base_co_state_08
res_country_municipality_136,549,PIOJO,con_profile.account_base_co_state_08
res_country_municipality_137,558,POLONUEVO,con_profile.account_base_co_state_08
res_country_municipality_138,560,PONEDERA,con_profile.account_base_co_state_08
res_country_municipality_139,573,PUERTO COLOMBIA,con_profile.account_base_co_state_08
res_country_municipality_140,606,REPELON,con_profile.account_base_co_state_08
res_country_municipality_141,634,SABANAGRANDE,con_profile.account_base_co_state_08
res_country_municipality_142,638,SABANALARGA,con_profile.account_base_co_state_08
res_country_municipality_143,675,SANTA LUCIA,con_profile.account_base_co_state_08
res_country_municipality_144,685,SANTO TOMAS,con_profile.account_base_co_state_08
res_country_municipality_145,758,SOLEDAD,con_profile.account_base_co_state_08
res_country_municipality_146,770,SUAN,con_profile.account_base_co_state_08
res_country_municipality_147,832,TUBARA,con_profile.account_base_co_state_08
res_country_municipality_148,849,USIACURI,con_profile.account_base_co_state_08
res_country_municipality_149,001,"BOGOTA, D.C.",con_profile.account_base_co_state_25
res_country_municipality_150,001,CARTAGENA,con_profile.account_base_co_state_13
res_country_municipality_151,006,ACHI,con_profile.account_base_co_state_13
res_country_municipality_152,030,ALTOS DEL ROSARIO,con_profile.account_base_co_state_13
res_country_municipality_153,042,ARENAL,con_profile.account_base_co_state_13
res_country_municipality_154,052,ARJONA,con_profile.account_base_co_state_13
res_country_municipality_155,062,ARROYOHONDO,con_profile.account_base_co_state_13
res_country_municipality_156,074,BARRANCO DE LOBA,con_profile.account_base_co_state_13
res_country_municipality_157,140,CALAMAR,con_profile.account_base_co_state_13
res_country_municipality_158,160,CANTAGALLO,con_profile.account_base_co_state_13
res_country_municipality_159,188,CICUCO,con_profile.account_base_co_state_13
