NOMBRE|DELIVERY_TYPE|PRICE_TYPE|PRODUCTO DE ENVÍO|MATRICULA|PRECIOS
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|95000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|95000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|95000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|95000
ZONA 4-BARBOSA-SANTA ELENA-PALMAS DEPUÉS DEL PEAJE|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|175000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|60000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|60000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|60000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|60000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|60000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|68000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|76000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|76000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|99000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|105000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE620|105000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|NPR/CHEVROLET/TMX272|105000
ZONA 5-RETIRO-RIONEGRO-LA CEJA|fixed|multiple_prices|ACAR-001|FSR/CHEVROLET/TGA353|200000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/540ACV|100000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RE 205D/BAJAJ/541ACV|100000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/985ACV|100000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/984ACV|100000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RE 4S(RE 205)/BAJAJ/206ADF|100000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|TFR/CHEVROLET LUV/MNA126|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|RN85/TOYOTA/TRB322|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|HILUX/TOYOTA/MNP810|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL271|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|DC4/CHEVROLET LUV/SNL286|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|NISSAN/NISSAN/KAZ161|180000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI448|200000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|K3000S-KIA/TMI436|200000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|DELTA V126L-HUT/DAIHATSU/TRF639|230000
ZONA 6-SANTA FE DE ANTIOQUIA-SOPETRAN-SAN JERONIMO|fixed|multiple_prices|ACAR-001|HD72/HYUNDAI/MNE317|280000
